price,bname
￥83.30（7折）,Effective Java中文版（原书第3版）
￥40.05（4.5折）,(特价书)深入解析WordPress(原书第2版)
￥17.55（4.5折）,(特价书)PaaS程序设计
￥31.05（4.5折）,(特价书)Android入门经典
￥31.05（4.5折）,(特价书)深入实践C++模板编程
￥14.50（5折）,(特价书)编译原理实践与指导教程
￥14.85（4.5折）,(特价书)Java程序设计习题精析与实验指导
￥40.05（4.5折）,(特价书)JavaScript物联网：架构与数据处理
￥35.55（4.5折）,(特价书)区块链开发实战：Hyperledger Fabric关键技术与案例分析
￥31.05（4.5折）,(特价书)区块链开发实战：以太坊关键技术与案例分析
￥26.55（4.5折）,(特价书)RocketMQ实战与原理解析
￥40.05（4.5折）,(特价书)结构化并行程序设计：高效计算模式
￥26.55（4.5折）,(特价书)OpenCV Android开发实战
￥26.55（4.5折）,(特价书)神经网络编程实战：Java语言实现（原书第2版）
￥53.55（4.5折）,(特价书)利用Python进行数据分析（原书第2版）
￥40.05（4.5折）,(特价书)Spring Boot 开发实战
￥35.55（4.5折）,(特价书)Scratch趣味编程：逻辑思维培养与训练
￥58.05（4.5折）,(特价书)C#从现象到本质
￥31.05（4.5折）,(特价书)从零开始学Python数据分析：视频教学版
￥58.05（4.5折）,(特价书)Flask Web开发实战：入门、进阶与原理解析
￥35.55（4.5折）,(特价书)Python自然语言处理
￥62.30（7折）,OpenCV 3和Qt5计算机视觉应用开发
￥62.30（7折）,分布式实时系统原理与设计方法（原书第2版）
￥62.30（7折）,Python机器学习（原书第2版）
￥48.30（7折）,RocketMQ技术内幕：RocketMQ架构设计与实现原理
￥48.30（7折）,数据科学实战之网络爬取：Python实践和示例
￥112.00（7折）,[套装书]Java编程思想(第4版)+Effective Java中文版(第2版)（2册）
￥69.30（7折）,Python程序设计基础（原书第4版）
￥48.30（7折）,R用户Python学习指南：数据科学方法
￥69.30（7折）,程序设计导论：Python计算与应用开发实践（原书第2版）
￥48.30（7折）,机器学习：使用OpenCV和Python进行智能图像处理
￥48.30（7折）,零基础轻松学Java
￥12.65（5.5折）,(特价书)C语言课程设计
￥35.55（4.5折）,(特价书)程序设计基础：原书第3版
￥47.52（4.8折）,(特价书)IT基础架构：系统运维实践
￥33.12（4.8折）,(特价书)基于深度学习的自然语言处理
￥37.92（4.8折）,(特价书)NetDevOps入门与实践
￥42.72（4.8折）,(特价书)Java高并发编程详解：多线程与架构设计
￥47.52（4.8折）,(特价书)Go语言从入门到进阶实战：视频教学版
￥47.52（4.8折）,(特价书)R语言机器学习
￥47.52（4.8折）,(特价书)程序设计基础：跨学科方法（Java语言描述·英文版）
￥44.55（4.5折）,(特价书)Java语言程序设计与数据结构（基础篇）（原书第11版）
￥28.32（4.8折）,(特价书)机器学习与深度学习：通过C语言模拟
￥33.12（4.8折）,(特价书)Java 9模块化开发：核心原则与实践
￥33.12（4.8折）,(特价书)高性能分布式计算系统开发与实现：基于Hadoop、Scalding和Spark
￥47.52（4.8折）,(特价书)Python数据科学：技术详解与商业实践
￥44.55（4.5折）,(特价书)NIO与Socket编程技术指南
￥33.12（4.8折）,(特价书)Elasticsearch搜索引擎开发实战
￥42.72（4.8折）,(特价书)PHP高性能开发：基础、框架与项目实战
￥37.92（4.8折）,(特价书)React Native 精解与实战
￥42.72（4.8折）,(特价书)Vue.js项目开发实战
￥28.32（4.8折）,(特价书)Scratch真好玩：教小孩学编程
￥37.92（4.8折）,(特价书)Spring Cloud微服务架构开发实战
￥37.92（4.8折）,(特价书)Android插件化开发指南
￥40.05（4.5折）,(特价书)深入浅出Rust
￥48.30（7折）,OpenStack CI/CD：原理与实践
￥83.30（7折）,Python程序设计（原书第2版）
￥153.30（7折）,Python学习手册（原书第5版）
￥55.30（7折）,PHP 7从零基础到项目实战
￥62.30（7折）,DevOps和自动化运维实践
￥48.30（7折）,深度学习实践：基于Caffe的解析
￥41.30（7折）,机器学习：Go语言实现
￥69.30（7折）,Java语言程序设计与数据结构（进阶篇）（原书第11版）
￥69.30（7折）,Julia语言程序设计
￥55.30（7折）,手机安全和可信应用开发指南:TrustZone与OP-TEE技术详解
￥139.30（7折）,Python 3标准库
￥55.30（7折）,Clojure编程实战（原书第2版）
￥48.30（7折）,内容即未来：数字产品规划与建模
￥51.75（7.5折）,造个小程序 与微信一起干件正经事儿
￥55.30（7折）,Python深度学习：基于TensorFlow
￥62.30（7折）,自己动手实现Lua：虚拟机、编译器和标准库
￥55.20（8折）,HTML5 CSS3 jQuery Mobile APP与移动网站设计从入门到精通
￥71.20（8折）,软件设计师考试同步辅导（上午科目）（第4版）
￥68.80（8折）,软件设计师考试同步辅导（下午科目）（第4版）
￥63.20（8折）,程序员考试同步辅导（上午科目）（第3版）
￥55.20（8折）,程序员考试同步辅导（下午科目）（第3版）
￥68.00（8折）,程序员考试同步辅导——考点串讲、真题详解与强化训练（第3版）
￥76.80（8折）,软件设计师考试同步辅导——考点串讲、真题详解与强化训练（第3版）
￥62.30（7折）,Java机器学习
￥79.20（8折）,码出高效：Java开发手册
￥62.30（7折）,跟着项目学iOS应用开发：基于Swift 4
￥355.30（8.5折）,[套装书]Java编程思想+Effective Java中文版+Java核心技术 卷Ⅰ+Java核心技术 卷Ⅱ（4册）
￥39.20（8折）,Java程序设计第一课
￥39.20（8折）,Python程序设计第一课
￥62.30（7折）,Docker技术入门与实战 第3版
￥90.30（7折）,PHP核心技术与最佳实践（第2版）
￥55.20（8折）,深入浅出数据科学
￥79.20（8折）,App Inventor开发训练营
￥63.20（8折）,Android移动应用开发实践教程
￥55.20（8折）,jQuery EasyUI从零开始学
￥39.20（8折）,Silverlight应用与开发
￥71.20（8折）,Scratch编程从入门到精通
￥63.20（8折）,Go语言编程入门与实战技巧
￥76.30（7折）,数据结构与算法：Python语言实现
￥47.20（8折）,Python数据可视化之matplotlib实践
￥47.84（8折）,Android Telephony原理解析与开发指南
￥55.30（7折）,Python自然语言处理
￥63.84（8折）,HTML5+CSS3+JavaScript从入门到精通（微课精编版）
￥31.20（8折）,Android移动开发详解——从基础入门到乐享开发
￥63.84（8折）,Java从入门到精通 精粹版
￥63.84（8折）,C语言从入门到精通 精粹版
￥47.84（8折）,Hadoop集群程序设计与开发
￥39.84（8折）,Python微控制器编程从零开始 使用MicroPython
￥90.30（7折）,Flask Web开发实战：入门、进阶与原理解析
￥55.84（8折）,Java EE框架整合开发入门到实战——Spring+Spring MVC+MyBatis（微课版）
￥55.20（8折）,Flask Web开发 基于Python的Web应用开发实战 第2版
￥86.40（8折）,macOS应用开发基础教程
￥79.20（8折）,Android应用案例开发大全 第4版
￥47.20（8折）,Python高性能 第2版
￥62.30（7折）,深入浅出Rust
￥71.20（8折）,自制编程语言 基于C语言
￥47.20（8折）,现代JavaScript编程：经典范例与实践技巧
￥47.20（8折）,React设计模式与最佳实践
￥71.20（8折）,程序员学Python
￥90.30（7折）,C#从现象到本质
￥39.84（8折）,Spark编程基础（Scala版）
￥39.84（8折）,Python网络爬虫实例教程（视频讲解版）
￥48.30（7折）,从零开始学Python数据分析：视频教学版
￥55.20（8折）,Android Studio程序设计案例教程-微课版
￥103.20（8折）,C语言编程从零开始学（视频教学版）
￥119.20（8折）,学习OpenCV 3（中文版）
￥55.20（8折）,编程超有趣 奇妙Python轻松学 第1辑
￥79.20（8折）,零基础学Swift 图文版
￥39.20（8折）,Python趣味编程入门
￥55.20（8折）,小程序，大未来：微信小程序开发
￥55.30（7折）,Android插件化开发指南
￥55.30（7折）,Scratch趣味编程：逻辑思维培养与训练
￥55.20（8折）,.NET性能优化
￥62.30（7折）,Spring Boot 开发实战
￥39.20（8折）,Java 9 口袋指南（第4版）
￥62.30（7折）,Vue.js项目开发实战
￥41.30（7折）,Scratch真好玩：教小孩学编程
￥55.30（7折）,Spring Cloud微服务架构开发实战
￥111.20（8折）,R数据科学
￥63.20（8折）,React状态管理与同构实战
￥94.40（8折）,揭秘Angular（第2版）
￥71.20（8折）,深度学习原理与实践
￥63.20（8折）,Python与神经网络实战
￥71.20（8折）,标准C语言基础教程（第四版）（英文版）
￥79.20（8折）,Android自定义控件开发入门与实战
￥39.84（8折）,Scratch趣学编程 青少年游戏和动画设计
￥79.20（8折）,PHP MySQL和JavaScript入门经典 第6版
￥71.20（8折）,JSON实战
￥79.20（8折）,虫术——Python绝技
￥63.20（8折）,智能运维：从0搭建大规模分布式AIOps系统
￥55.30（7折）,React Native 精解与实战
￥83.30（7折）,利用Python进行数据分析（原书第2版）
￥51.75（7.5折）,Java程序员面试算法宝典
￥48.30（7折）,Elasticsearch搜索引擎开发实战
￥62.30（7折）,PHP高性能开发：基础、框架与项目实战
￥79.20（8折）,深入浅出Spring Boot 2.x
￥39.20（8折）,用Python写网络爬虫 第2版
￥71.20（8折）,最强Android书：架构大剖析
￥51.75（7.5折）,Web前端学习笔记：HTML5+CSS3+JavaScript
￥55.25（8.5折）,Android软件开发教程（第2版）
￥69.30（7折）,NIO与Socket编程技术指南
￥48.30（7折）,高性能分布式计算系统开发与实现：基于Hadoop、Scalding和Spark
￥69.30（7折）,Python数据科学：技术详解与商业实践
￥95.20（8折）,Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程 第2版
￥71.20（8折）,微服务架构实战
￥96.00（8折）,树莓派实战全攻略:Scratch、Python、Linux、Minecraft应用与机器人智能制作
￥63.20（8折）,青少年学Python
￥79.20（8折）,Python 3 面向对象编程（第2版）
￥71.20（8折）,Lua程序设计（第4版）
￥41.30（7折）,机器学习与深度学习：通过C语言模拟
￥48.30（7折）,Java 9模块化开发：核心原则与实践
￥39.20（8折）,零基础学编程：树莓派和Python
￥55.20（8折）,Python 3.0科学计算指南
￥59.25（7.5折）,Python深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案
￥41.30（7折）,神经网络编程实战：Java语言实现（原书第2版）
￥69.30（7折）,Java语言程序设计与数据结构（基础篇）（原书第11版）
￥71.20（8折）,Spring学习指南 第3版
￥29.85（7.5折）,Android项目驱动式开发教程 第2版
￥42.72（4.8折）,(特价书)深入浅出RxJS
￥33.12（4.8折）,(特价书)C#灰帽子：设计安全测试工具
￥37.92（4.8折）,(特价书)Effective C#：改善C#代码的50个有效方法（原书第3版）
￥17.28（4.8折）,(特价书)Visual C++ 2010程序设计案例教程
￥47.52（4.8折）,(特价书)PHP 7底层设计与源码实现
￥28.32（4.8折）,(特价书)数据科学导论：Python语言实现（原书第2版）
￥33.12（4.8折）,(特价书)Python金融数据分析
￥28.32（4.8折）,(特价书)文本挖掘：基于R语言的整洁工具
￥37.92（4.8折）,(特价书)Python文本分析
￥33.12（4.8折）,(特价书)Python自然语言处理实战：核心技术与算法
￥57.12（4.8折）,(特价书)Java程序设计概念：对象先行（原书第8版）
￥47.20（8折）,编程猫：孩子们写的编程入门书
￥87.20（8折）,Node.js：来一打 C++ 扩展
￥71.20（8折）,Python云原生：构建应对海量用户数据的高可扩展Web应用
￥63.20（8折）,Python带我起飞--入门、进阶、商业实战
￥63.20（8折）,大型网站技术架构演进与性能优化
￥63.20（8折）,跟老齐学Python：数据分析
￥47.84（8折）,Python测试之道
￥55.20（8折）,Scala实用指南
￥41.30（7折）,OpenCV Android开发实战
￥44.25（7.5折）,软件品质之完美管理——实战经典
￥51.75（7.5折）,程序员面试笔试宝典  第3版
￥63.20（8折）,HyperLedger Fabric开发实战--快速掌握区块链技术
￥63.20（8折）,Spring Cloud与Docker高并发微服务架构设计实施
￥55.20（8折）,自动化平台测试开发：Python测试开发实战
￥69.30（7折）,程序设计基础：跨学科方法（Java语言描述·英文版）
￥41.30（7折）,RocketMQ实战与原理解析
￥62.30（7折）,结构化并行程序设计：高效计算模式
￥63.20（8折）,深入RabbitMQ
￥70.40（8折）,Spring微服务
￥55.84（8折）,HTML5+CSS3+jQuery Mobile移动网站与App开发实战（视频讲解版）
￥55.20（8折）,Scratch 2.0少儿游戏趣味编程
￥16.80（4.8折）,(特价书)Java程序设计
￥47.52（4.8折）,(特价书)Solr权威指南　上卷
￥37.92（4.8折）,(特价书)雾计算：技术、架构及应用
￥33.12（4.8折）,(特价书)Storm应用实践-实时事务处理之策略
￥23.52（4.8折）,(特价书)自然语言处理与深度学习：通过C语言模拟
￥61.92（4.8折）,(特价书)PHP和MySQL Web开发（原书第5版）
￥28.32（4.8折）,(特价书)物联网系统开发：树莓派JavaScript编程指南
￥66.72（4.8折）,(特价书)Android应用开发实战（原书第2版）
￥47.52（4.8折）,(特价书)程序员面试手册：概念、编程问题及面试题
￥42.72（4.8折）,(特价书)高效前端：Web高效编程与优化实践
￥47.52（4.8折）,(特价书)Nginx Lua开发实战
￥37.92（4.8折）,(特价书)深度实践OpenStack：基于Python的OpenStack组件开发
￥37.92（4.8折）,(特价书)软件架构：Python语言实现
￥28.32（4.8折）,(特价书)Java自然语言处理
￥23.52（4.8折）,(特价书)程序设计基础教程：用 C语言编程
￥63.20（8折）,零压力学Python
￥47.20（8折）,深度学习：基于Keras的Python实践
￥69.30（7折）,R语言机器学习
￥55.30（7折）,区块链开发实战：Hyperledger Fabric关键技术与案例分析
￥48.30（7折）,区块链开发实战：以太坊关键技术与案例分析
￥55.20（8折）,11招玩转网络安全--用Python，更安全
￥79.20（8折）,你必须掌握的EntityFramework6.x与Core2.0
￥47.20（8折）,分布式对象存储 原理 架构及Go语言实现
￥68.00（8折）,iOS应用逆向与安全
￥63.20（8折）,Python绝技：运用Python成为顶级数据工程师
￥46.40（8折）,Spring Boot 2企业应用实战
￥69.30（7折）,Go语言从入门到进阶实战：视频教学版
￥47.20（8折）,JavaScript函数式编程指南
￥96.60（7折）,[套装书]基于深度学习的自然语言处理+机器学习算法
￥47.20（8折）,笨办法学Python 3
￥71.20（8折）,达人迷 Python趣味编程10例
￥71.20（8折）,Java架构师指南
￥62.30（7折）,Java高并发编程详解：多线程与架构设计
￥13.75（5.5折）,(特价书)C语言程序设计习题解析与上机指导(第2版)
￥47.52（4.8折）,(特价书)Java编程的逻辑
￥28.32（4.8折）,(特价书)小程序从0到1：微信全栈工程师一本通
￥55.20（8折）,Android APP开发实战 从规划到上线全程详解
￥28.32（4.8折）,(特价书)Arduino开发实战指南：LabVIEW卷
￥71.20（8折）,Node.js调试指南（全彩）
￥55.30（7折）,Effective C#：改善C#代码的50个有效方法（原书第3版）
￥48.30（7折）,Python自然语言处理实战：核心技术与算法
￥63.20（8折）,零基础学Scratch 图文版
￥55.30（7折）,NetDevOps入门与实践
￥69.30（7折）,PHP 7底层设计与源码实现
￥63.20（8折）,Python数据分析：基于Plotly的动态可视化绘图
￥63.20（8折）,Java数据科学指南
￥55.20（8折）,Python数据分析 第2版
￥36.00（8折）,漫画面向对象编程 Java语言版
￥31.20（8折）,Hadoop深度学习
￥47.84（8折）,微服务设计原理与架构
￥63.20（8折）,OCaml语言编程基础教程
￥71.20（8折）,HTML5/CSS3/JavaScript技术大全
￥62.30（7折）,JavaScript物联网：架构与数据处理
￥47.20（8折）,Java轻松学
￥126.40（8折）,C++ Templates 第2版 英文版
￥63.84（8折）,DevOps实施手册在多级IT企业中使用DevOps
￥71.20（8折）,Android应用开发进阶
￥63.20（8折）,深入剖析Android新特性
￥55.20（8折）,Python数据科学入门
￥55.20（8折）,30天App开发从0到1 APICloud移动开发实战
￥63.20（8折）,Spring微服务实战
￥63.20（8折）,Python应用开发实战
￥36.00（8折）,Android模块化开发项目式教程（Android Studio）
￥44.10（9折）,玩转Python轻松过二级
￥55.84（8折）,C语言项目开发全程实录（第2版）（软件项目开发全程实录）
￥48.30（7折）,基于深度学习的自然语言处理
￥55.30（7折）,程序设计基础：原书第3版
￥69.30（7折）,IT基础架构：系统运维实践
￥37.92（4.8折）,(特价书)C和C++安全编码(原书第2版)
￥71.20（8折）,达人迷 Ruby趣味编程12例
￥71.20（8折）,Apache Kafka实战
￥71.20（8折）,JavaScript实战——JavaScript、jQuery、HTML5、Node.js实例大全（第2版）（Web前端技术丛书）
￥62.30（7折）,深入浅出RxJS
￥50.15（8.5折）,Android应用开发案例教程
￥63.20（8折）,Scratch编程权威实战指南
